stage,label,nbytes,mode,event_id,plan_id,status,completion_kind,actual_engine,actual_path,submitted_at_ns,started_at_ns,completed_at_ns,actual_latency_us,actual_bandwidth_gib_s,submit_wall_us,export_wait_us
prefill,layer27,660644864,auto,30027,20055,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185712996861268,1782185712996861268,1782185713009350256,12488.988,49.265,200248.743,88445.573
prefill,layer28,660644864,auto,30028,20057,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185713197099931,1782185713197099931,1782185713209426108,12326.177,49.916,200234.794,88812.025
prefill,layer29,660644864,auto,30029,20059,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185713397351014,1782185713397351014,1782185713409518740,12167.726,50.566,200244.123,89319.288
prefill,layer30,660644864,auto,30030,20061,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185713597540337,1782185713597540337,1782185713610061195,12520.858,49.140,200201.722,88830.564
prefill,layer31,660644864,auto,30031,20063,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185713797781610,1782185713797781610,1782185713810029826,12248.216,50.234,200197.182,89936.120
prefill,layer32,660644864,auto,30032,20065,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185713998023533,1782185713998023533,1782185714010157679,12134.146,50.706,200262.694,89334.178
prefill,layer33,660644864,auto,30033,20067,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185714198268486,1782185714198268486,1782185714210516673,12248.187,50.234,200245.233,90425.944
prefill,layer34,660644864,auto,30034,20069,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185714398504359,1782185714398504359,1782185714410692475,12188.116,50.481,200191.223,88645.604
prefill,layer35,660644864,auto,30035,20071,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185714598737962,1782185714598737962,1782185714610859978,12122.016,50.757,200236.093,88413.323
prefill,layer36,660644864,auto,30036,20073,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185714798981515,1782185714798981515,1782185714811192482,12210.967,50.387,200233.283,90195.583
prefill,layer37,660644864,auto,30037,20075,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185714999227478,1782185714999227478,1782185715011320904,12093.426,50.877,200251.403,89746.130
prefill,layer38,660644864,auto,30038,20077,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185715199467931,1782185715199467931,1782185715211657058,12189.127,50.477,200234.043,89924.321
prefill,layer39,660644864,auto,30039,20079,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185715399703414,1782185715399703414,1782185715411797470,12094.056,50.874,200226.373,89301.248
decode,decode_input_rms_weight,819200,auto,30040,20081,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185743739311333,1782185743739311333,1782185743741666475,2355.142,0.324,299700.156,0.000
decode,decode_wq,2097152000,auto,30041,20083,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185744239928955,1782185744239928955,1782185744277739312,37810.357,51.656,298011.606,0.000
decode,decode_wk,419430400,auto,30042,20085,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185744740534608,1782185744740534608,1782185744749123735,8589.127,45.479,299536.415,0.000
decode,decode_wv,419430400,auto,30043,20087,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185745241127031,1782185745241127031,1782185745249754268,8627.237,45.278,299610.186,0.000
decode,decode_q_norm_weight,20480,auto,30044,20089,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185745741742663,1782185745741742663,1782185745743152931,1410.268,0.014,300010.717,0.000
decode,decode_k_norm_weight,20480,auto,30045,20091,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185746242386336,1782185746242386336,1782185746244156856,1770.520,0.011,299901.277,0.000
decode,decode_wo,2097152000,auto,30046,20093,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185746742994269,1782185746742994269,1782185746778799514,35805.245,54.549,298052.467,0.000
decode,decode_post_rms_weight,819200,auto,30047,20095,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185747243614512,1782185747243614512,1782185747245344931,1730.419,0.441,299923.647,0.000
decode,decode_w_gate,7130316800,auto,30048,20097,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185747744202484,1782185747744202484,1782185747862425240,118222.756,56.170,311166.649,0.000
decode,decode_w_up,7130316800,auto,30049,20099,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185748244783987,1782185748244783987,1782185748362926512,118142.525,56.209,310945.977,0.000
decode,decode_w_down,7130316800,auto,30050,20101,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185748745413150,1782185748745413150,1782185748863544104,118130.954,56.214,301869.907,0.000
decode,final_norm_weight,20480,auto,30051,20103,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185749246041472,1782185749246041472,1782185749247733392,1691.920,0.011,299983.107,0.000
decode,padded_lm_head_weight,1557135360,auto,30052,20105,complete,thread_event,acl_direct_async_thp,ddr_hbm_direct_thp,1782185749746617735,1782185749746617735,1782185749774248486,27630.751,52.485,290075.694,0.000
