direction,hbm_kind,selection,status,error,bytes,gib,setup_us,hbm_alloc_us,memfd_mmap_us,acl_malloc_host_us,pinned_pool_alloc_us,pretouch_us,mlock_us,madvise_us,register_us,unregister_us,warmup_us,hot_avg_us,hot_min_us,hot_max_us,hot_submit_us,hot_wait_us,hot_cpu_copy_us,hot_avg_gib_s,hot_min_gib_s,hot_max_gib_s,warmups,repeats,v2_flags,mmap_kind,used_mlock,used_thp,used_hugetlb,used_pinned_staging,anon_huge_kb,shmem_pmd_mapped_kb,file_pmd_mapped_kb,kernel_page_kb,mmu_page_kb,verified
d2h,physical,memfd_thp,ok,"",1073741824,1.000000,34916.917000,1061.946000,19.990000,0.000000,0.000000,29814.967000,0.000000,2.820000,0.000000,0.000000,25110.619000,24722.096667,24714.307000,24734.557000,24684.830000,35.130000,0.000000,40.449644,40.429267,40.462393,1,3,0x0,memfd,false,true,false,false,0,1048576,0,4,4,true
d2h,physical,acl_malloc_host_dma_hbm,ok,"",1073741824,1.000000,57167.879000,923.285000,0.000000,15101.770000,0.000000,41137.144000,0.000000,0.000000,0.000000,0.000000,24664.226000,24438.405667,24411.295000,24490.746000,246.918333,24189.944000,0.000000,40.919200,40.831749,40.964644,1,3,0x0,aclrtMallocHost,false,false,false,false,0,0,0,0,0,true
