direction,hbm_kind,selection,status,error,bytes,gib,setup_us,hbm_alloc_us,memfd_mmap_us,acl_malloc_host_us,pinned_pool_alloc_us,pretouch_us,mlock_us,madvise_us,register_us,unregister_us,warmup_us,hot_avg_us,hot_min_us,hot_max_us,hot_submit_us,hot_wait_us,hot_cpu_copy_us,hot_avg_gib_s,hot_min_gib_s,hot_max_gib_s,warmups,repeats,v2_flags,mmap_kind,used_mlock,used_thp,used_hugetlb,used_pinned_staging,anon_huge_kb,shmem_pmd_mapped_kb,file_pmd_mapped_kb,kernel_page_kb,mmu_page_kb,verified
d2h,normal,memfd_thp,ok,"",1073741824,1.000000,34358.684000,752.724000,19.460000,0.000000,0.000000,29581.606000,0.000000,3.080000,0.000000,0.000000,25093.349000,24733.957000,24721.497000,24751.577000,24689.886667,42.057000,0.000000,40.430247,40.401466,40.450625,1,3,0x0,memfd,false,true,false,false,0,1048576,0,4,4,true
d2h,normal,acl_malloc_host_dma_hbm,ok,"",1073741824,1.000000,57712.413000,512.883000,0.000000,14990.010000,0.000000,42202.220000,0.000000,0.000000,0.000000,0.000000,24690.887000,24414.651667,24409.045000,24421.905000,247.144667,24166.037000,0.000000,40.959012,40.946847,40.968420,1,3,0x0,aclrtMallocHost,false,false,false,false,0,0,0,0,0,true
