direction,hbm_kind,selection,status,error,bytes,gib,setup_us,hbm_alloc_us,memfd_mmap_us,acl_malloc_host_us,pinned_pool_alloc_us,pretouch_us,mlock_us,madvise_us,register_us,unregister_us,warmup_us,hot_avg_us,hot_min_us,hot_max_us,hot_submit_us,hot_wait_us,hot_cpu_copy_us,hot_avg_gib_s,hot_min_gib_s,hot_max_gib_s,warmups,repeats,v2_flags,mmap_kind,used_mlock,used_thp,used_hugetlb,used_pinned_staging,anon_huge_kb,shmem_pmd_mapped_kb,file_pmd_mapped_kb,kernel_page_kb,mmu_page_kb,verified
h2d,physical,memfd_thp,ok,"",1073741824,1.000000,34983.338000,1081.607000,16.640000,0.000000,0.000000,29922.378000,0.000000,2.850000,0.000000,0.000000,18005.717000,17824.606333,17806.426000,17858.147000,17779.195667,43.447333,0.000000,56.102221,55.996851,56.159501,1,3,0x0,memfd,false,true,false,false,0,1048576,0,4,4,true
h2d,physical,acl_malloc_host_dma_hbm,ok,"",1073741824,1.000000,56321.394000,934.905000,0.000000,14279.885000,0.000000,41099.924000,0.000000,0.000000,0.000000,0.000000,17672.385000,17717.452000,17686.375000,17738.996000,261.298333,17454.670333,0.000000,56.441524,56.372976,56.540699,1,3,0x0,aclrtMallocHost,false,false,false,false,0,0,0,0,0,true
